### Qwen3-8B sweep
== Qwen3-8B  train=6330 val=676  d=4096 ==
     lr   ep    bs   tau | infoNCE+ infoNCE- | val-sep
  1e-03   10   256   0.1 |    5.507    5.483 |   0.667
  5e-03   40   256  0.05 |    5.523    5.526 |   0.680
  1e-02   40  1024  0.05 |    5.521    5.535 |   0.657
  1e-02   40   256  0.05 |    5.532    5.515 |   0.676
  5e-03   40  1024   0.1 |    5.916    5.916 |   0.515
  1e-02   10   256  0.05 |    5.704    5.714 |   0.666
### Llama-2 sweep
== Llama-2-7b-chat-hf  train=7520 val=884  d=4096 ==
     lr   ep    bs   tau | infoNCE+ infoNCE- | val-sep
  1e-03   10   256   0.1 |    4.861    4.916 |   0.635
  5e-03   40   256  0.05 |    4.836    4.861 |   0.648
  1e-02   40  1024  0.05 |    6.132    6.195 |   0.654
  1e-02   40   256  0.05 |    4.838    4.858 |   0.645
  5e-03   40  1024   0.1 |    6.135    6.182 |   0.650
  1e-02   10   256  0.05 |    4.999    4.958 |   0.656
### SWEEP DONE
